"id";"container_id";"pick_minfilllevel";"decrease";"code";"pick_at_utc";"percent_before";"percent_now";"event_driven"
"5252000";"29806";"30";"20";"0018/ 050C00471";"2018-12-01T05:06:27.000Z";"76";"6";"false"
"5278394";"29808";"30";"20";"0018/ 050C00473";"2018-12-03T09:08:48.000Z";"95";"2";"false"
"5280954";"29789";"30";"20";"0006/ 264C00204";"2018-12-03T13:09:24.000Z";"89";"13";"false"
"5302784";"29805";"30";"20";"0010/ 268C00464";"2018-12-05T09:16:14.000Z";"100";"7";"false"
"5302791";"29804";"30";"20";"0010/ 268C00463";"2018-12-05T09:16:17.000Z";"100";"25";"false"
"5302796";"29821";"30";"20";"0006/ 263C00234";"2018-12-05T09:16:18.000Z";"81";"17";"false"
"5302799";"29803";"30";"20";"0010/ 268C00462";"2018-12-05T09:16:23.000Z";"100";"17";"false"
"5302949";"29786";"30";"20";"0006/ 264C00201";"2018-12-05T09:40:55.000Z";"56";"15";"false"
"5302995";"29830";"30";"20";"0010/ 265C00451";"2018-12-05T09:44:08.000Z";"72";"25";"false"
"5304367";"29820";"30";"20";"0006/ 263C00233";"2018-12-05T11:06:18.000Z";"81";"27";"false"
"5305500";"29793";"30";"20";"0010/ 263C00434";"2018-12-05T13:58:40.000Z";"100";"20";"false"
"5327215";"29789";"30";"20";"0006/ 264C00204";"2018-12-07T09:23:44.000Z";"56";"14";"false"
"5327233";"29826";"30";"20";"0009/ 003C00263";"2018-12-07T09:23:53.000Z";"100";"17";"false"
"5332528";"29788";"30";"20";"0006/ 264C00203";"2018-12-07T17:07:07.000Z";"100";"28";"false"
"10021952";"29808";"30";"20";"0018/ 050C00473";"2018-12-10T09:06:41.000Z";"48";"25";"false"
"10021958";"29824";"30";"20";"0009/ 003C00261";"2018-12-10T09:06:43.000Z";"100";"18";"false"
"10021960";"29831";"30";"20";"0010/ 265C00452";"2018-12-10T09:06:45.000Z";"100";"25";"false"
"10023477";"29800";"30";"20";"0010/ 252C00425";"2018-12-10T11:05:09.000Z";"99";"15";"false"
"10023552";"29788";"30";"20";"0006/ 264C00203";"2018-12-10T11:07:03.000Z";"70";"15";"false"
"10024597";"29789";"30";"20";"0006/ 264C00204";"2018-12-10T13:07:24.000Z";"91";"14";"false"
"10024600";"29827";"30";"20";"0009/ 003C00264";"2018-12-10T13:07:26.000Z";"100";"24";"false"
"10024602";"29829";"30";"20";"0009/ 153C00301";"2018-12-10T13:07:27.000Z";"100";"0";"false"
"10024617";"29821";"30";"20";"0006/ 263C00234";"2018-12-10T13:08:04.000Z";"100";"18";"false"
"10024635";"29809";"30";"20";"0018/ 050C00474";"2018-12-10T13:09:18.000Z";"100";"20";"false"
"10027334";"29798";"30";"20";"0010/ 252C00423";"2018-12-10T17:08:08.000Z";"100";"11";"false"
"10044278";"29795";"30";"20";"0010/ 263C00436";"2018-12-12T05:15:34.000Z";"100";"0";"false"
"10046264";"29822";"30";"20";"0006/ 263C00232";"2018-12-12T09:14:12.000Z";"100";"16";"false"
"10046267";"29823";"30";"20";"0006/ 263C00231";"2018-12-12T09:14:14.000Z";"100";"14";"false"
"10047565";"29796";"30";"20";"0010/ 252C00421";"2018-12-12T11:00:30.000Z";"99";"6";"false"
"10047960";"29792";"30";"20";"0010/ 263C00433";"2018-12-12T11:10:20.000Z";"93";"15";"false"
"10049043";"29793";"30";"20";"0010/ 263C00434";"2018-12-12T13:15:05.000Z";"100";"23";"false"
"10056382";"29806";"30";"20";"0018/ 050C00471";"2018-12-13T05:06:23.000Z";"99";"0";"false"
"10056660";"30053";"30";"20";"0003/ 022C00523";"2018-12-13T05:17:17.000Z";"32";"0";"false"
"10056680";"30039";"30";"20";"0003/ 013C00501";"2018-12-13T05:17:22.000Z";"69";"10";"false"
"10056730";"29907";"30";"20";"0006/ 016C00214";"2018-12-13T05:17:58.000Z";"99";"0";"false"
"10056746";"30067";"30";"20";"0003/ 035C00554";"2018-12-13T05:18:06.000Z";"59";"0";"false"
"10058670";"30068";"30";"20";"0003/ 035C00555";"2018-12-13T09:17:55.000Z";"59";"0";"false"
"10058712";"29918";"30";"20";"0001/ 013C00065";"2018-12-13T09:18:04.000Z";"48";"0";"false"
"10058720";"29934";"30";"20";"0007/ 022C00411";"2018-12-13T09:18:07.000Z";"100";"0";"false"
"10058731";"29917";"30";"20";"0001/ 013C00064";"2018-12-13T09:18:11.000Z";"100";"10";"false"
"10058755";"29945";"30";"20";"0005/ 218C00143";"2018-12-13T09:19:51.000Z";"49";"8";"false"
"10058766";"29935";"30";"20";"0007/ 022C00412";"2018-12-13T09:20:08.000Z";"100";"0";"false"
"10058881";"30081";"30";"20";"0003/ 039C00582";"2018-12-13T09:36:31.000Z";"73";"27";"false"
"10061550";"29801";"30";"20";"0010/ 252C00426";"2018-12-13T13:18:39.000Z";"99";"28";"false"
"10061566";"30077";"30";"20";"0003/ 037C00572";"2018-12-13T13:18:41.000Z";"97";"15";"false"
"10061577";"30099";"30";"20";"0003/ 043C00613";"2018-12-13T13:18:44.000Z";"59";"0";"false"
"10061589";"30052";"30";"20";"0003/ 022C00522";"2018-12-13T13:18:50.000Z";"71";"18";"false"
"10061616";"30051";"30";"20";"0003/ 022C00521";"2018-12-13T13:20:32.000Z";"99";"16";"false"
"10061620";"30057";"30";"20";"0003/ 024C00533";"2018-12-13T13:20:34.000Z";"62";"0";"false"
"10061665";"30076";"30";"20";"0003/ 037C00571";"2018-12-13T13:38:16.000Z";"100";"28";"false"
"10064113";"29825";"30";"20";"0009/ 003C00262";"2018-12-13T17:06:39.000Z";"41";"11";"false"
"10064473";"29901";"30";"20";"0005/ 003C00132";"2018-12-13T17:19:59.000Z";"41";"0";"false"
"10068972";"29799";"30";"20";"0010/ 252C00424";"2018-12-14T05:06:33.000Z";"100";"25";"false"
"10069314";"30067";"30";"20";"0003/ 035C00554";"2018-12-14T05:21:52.000Z";"61";"0";"false"
