"id";"container_id";"pick_minfilllevel";"decrease";"code";"pick_at_utc";"percent_before";"percent_now";"event_driven"
"15270292";"30046";"50";"20";"0003/ 014C00513";"2019-10-01T05:00:41.000Z";"100";"1";"false"
"15270477";"30327";"30";"20";"0001/ 002C01582";"2019-10-01T05:01:47.000Z";"38";"1";"false"
"15270800";"30064";"30";"20";"0003/ 035C00551";"2019-10-01T05:12:45.000Z";"44";"16";"false"
"15270879";"30116";"30";"20";"0003/ 084C00644";"2019-10-01T05:12:49.000Z";"100";"10";"false"
"15271061";"29927";"30";"20";"0006/ 262C00242";"2019-10-01T05:19:44.000Z";"100";"0";"false"
"15271066";"30034";"30";"20";"0003/ 012C00493";"2019-10-01T05:20:36.000Z";"100";"0";"false"
"15271124";"30060";"50";"20";"0003/ 030C00542";"2019-10-01T05:25:38.000Z";"100";"7";"false"
"15271202";"30040";"30";"20";"0003/ 013C00502";"2019-10-01T05:39:07.000Z";"100";"10";"false"
"15271205";"30109";"30";"20";"0003/ 076C00634";"2019-10-01T05:39:08.000Z";"89";"4";"false"
"15271776";"30071";"30";"20";"0003/ 036C00563";"2019-10-01T06:01:40.000Z";"97";"3";"false"
"15271819";"29867";"50";"20";"0001/ 032C00012";"2019-10-01T06:01:45.000Z";"100";"10";"false"
"15272682";"29878";"50";"20";"0006/ 001C00181";"2019-10-01T06:12:59.000Z";"94";"3";"false"
"15275519";"29913";"50";"20";"0001/ 027C00052";"2019-10-01T10:01:29.000Z";"89";"37";"false"
"15275527";"29956";"50";"20";"0001/ 003C00111";"2019-10-01T10:01:32.000Z";"93";"35";"false"
"15275594";"29952";"40";"20";"0001/ 022C00091";"2019-10-01T10:01:41.000Z";"56";"9";"false"
"15275619";"30069";"30";"20";"0003/ 036C00561";"2019-10-01T10:01:45.000Z";"91";"3";"false"
"15275622";"30093";"30";"20";"0003/ 041C00604";"2019-10-01T10:01:46.000Z";"95";"29";"false"
"15275658";"30107";"30";"20";"0003/ 076C00632";"2019-10-01T10:01:54.000Z";"71";"7";"false"
"15275921";"30068";"30";"20";"0003/ 035C00555";"2019-10-01T10:13:33.000Z";"55";"0";"false"
"15275936";"29903";"30";"20";"0005/ 003C00134";"2019-10-01T10:13:35.000Z";"98";"7";"false"
"15275963";"30059";"50";"20";"0003/ 030C00541";"2019-10-01T10:13:36.000Z";"100";"7";"false"
"15275997";"30167";"50";"30";"0008/ 080C01396";"2019-10-01T10:13:39.000Z";"68";"29";"false"
"15276008";"30044";"30";"20";"0003/ 014C00511";"2019-10-01T10:13:41.000Z";"100";"5";"false"
"15276028";"30114";"30";"20";"0003/ 084C00642";"2019-10-01T10:13:47.000Z";"98";"7";"false"
"15276108";"30039";"30";"20";"0003/ 013C00501";"2019-10-01T10:18:56.000Z";"100";"12";"false"
"15276126";"30091";"30";"20";"0003/ 041C00602";"2019-10-01T10:22:40.000Z";"100";"6";"false"
"15276214";"30032";"30";"20";"0003/ 012C00491";"2019-10-01T10:40:01.000Z";"100";"2";"false"
"15278834";"30169";"30";"20";"0008/ 034C01386";"2019-10-01T13:01:52.000Z";"88";"14";"false"
"15279362";"30126";"30";"20";"0008/ 226C01323";"2019-10-01T13:20:20.000Z";"33";"1";"false"
"15285178";"30057";"30";"20";"0003/ 024C00533";"2019-10-01T18:15:00.000Z";"54";"0";"false"
"15290294";"29792";"30";"20";"0010/ 263C00433";"2019-10-02T05:00:37.000Z";"100";"26";"false"
"15290307";"29910";"30";"20";"0007/ 067C00403";"2019-10-02T05:00:40.000Z";"71";"7";"false"
